2024/07/31 00:34:33 [error] 13404#15808: *4396 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4397 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4398 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4399 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4400 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4401 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4402 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4403 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4404 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4405 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
